step,test_loss_step
0,0.027589548379182816
1,0.024475667625665665
2,0.025672737509012222
3,0.02524307556450367
4,0.02771824039518833
5,0.023511584848165512
6,0.026931557804346085
7,0.024747218936681747
8,0.028302524238824844
9,0.023709390312433243
10,0.025719942525029182
11,0.022373517975211143
12,0.026564287021756172
13,0.02771274372935295
14,0.02330758050084114
15,0.027089670300483704
16,0.027150139212608337
17,0.025969121605157852
18,0.026081908494234085
19,0.023719072341918945
20,0.023800989612936974
21,0.024264048784971237
22,0.02493618056178093
23,0.026517776772379875
24,0.02467682957649231
25,0.024318592622876167
26,0.024471040815114975
27,0.025223340839147568
28,0.023306570947170258
29,0.023221060633659363
30,0.023603923618793488
31,0.02342904545366764
32,0.025123698636889458
33,0.023000236600637436
34,0.028362873941659927
35,0.024334760382771492
36,0.025641748681664467
37,0.02633577212691307
38,0.02525249868631363
39,0.024556690827012062
40,0.025042198598384857
41,0.028247252106666565
42,0.02699914202094078
43,0.024521850049495697
44,0.0244752187281847
45,0.019590310752391815
46,0.02333204634487629
47,0.023183578625321388
48,0.02597346156835556
49,0.026640135794878006
50,0.024147314950823784
51,0.02352435514330864
52,0.022549791261553764
53,0.02687361277639866
54,0.025913085788488388
55,0.02411283180117607
56,0.02586894854903221
57,0.024091750383377075
